po_id,product_id,supplier_id,order_date,expected_date,actual_date,quantity,unit_cost,lead_time_days
PO00191,PROD016,SUP004,2025-12-04 05:11:09.346733672,2025-12-24 05:11:09.346733672,2025-12-24 05:11:09.346733672,559,24000,20
PO00192,PROD001,SUP005,2025-12-05 23:16:34.974874376,2025-12-19 23:16:34.974874376,2025-12-20 23:16:34.974874376,553,185000,15
PO00193,PROD006,SUP003,2025-12-07 17:22:00.603015080,2025-12-18 17:22:00.603015080,2025-12-19 17:22:00.603015080,167,125000,12
PO00194,PROD015,SUP004,2025-12-09 11:27:26.231155780,2025-12-28 11:27:26.231155780,2025-12-30 11:27:26.231155780,593,15000,21
PO00195,PROD020,SUP005,2025-12-11 05:32:51.859296484,2025-12-26 05:32:51.859296484,2025-12-26 05:32:51.859296484,558,75000,15
PO00196,PROD007,SUP003,2025-12-12 23:38:17.487437188,2025-12-22 23:38:17.487437188,2025-12-22 23:38:17.487437188,175,35000,10
PO00197,PROD002,SUP005,2025-12-14 17:43:43.115577892,2025-12-28 17:43:43.115577892,2025-12-30 17:43:43.115577892,790,320000,16
PO00198,PROD019,SUP005,2025-12-16 11:49:08.743718596,2026-01-02 11:49:08.743718596,2026-01-02 11:49:08.743718596,634,145000,17
PO00199,PROD020,SUP005,2025-12-18 05:54:34.371859300,2026-01-07 05:54:34.371859300,2026-01-07 05:54:34.371859300,144,75000,20
PO00200,PROD003,SUP002,2025-12-20 00:00:00.000000000,2026-01-03 00:00:00.000000000,2026-01-03 00:00:00.000000000,863,95000,14
